smiles,mpo,syba,sa,rrs,pns,hypervolume,seed
CNCC(CCNN)C(NC(C)NC(N)=O)C(c1ccccc1)N(N)OC,0.0323,14.5281,3.0000,0.1977,1.0000,1.0628,0
CCC(C)C(NCc1ccsc1)C(CC(OC)OC)C(NC(C)c1ncccn1)C(c1ccccc1)N(N)OC,0.1122,66.6638,3.0000,0.1975,1.0000,1.0628,0
COCC(CC(C)C)C(CNCc1ccncn1)C(NC(C)c1ncccn1)C(c1ccccc1)N(N)OC,0.1745,60.5595,3.0000,0.1975,1.0000,1.0628,0
COCC1CNC(c2ccccc2)CO1,0.8115,-0.5560,3.0000,0.1970,1.0000,1.0628,1
O=C(Oc1cccnc1)C(CCNc1ccc2ccccc2n1)c1ccc(-c2ccccc2)nc1,0.2913,143.5378,3.0000,0.1529,1.0000,1.0628,1
CNCc1cccc(-c2ccccn2)c1,0.5786,74.6821,3.0000,0.1944,1.0000,1.0628,1
CC(Cc1ccccc1)N(C)Cc1cccc(-c2ccccn2)c1,0.6485,115.7144,3.0000,0.1803,1.0000,1.0628,1
CCCNC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.7546,67.4888,3.0000,0.1918,1.0000,1.0628,1
CCNC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.7200,76.6272,3.0000,0.1899,1.0000,1.0628,1
COCC(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.7200,76.6272,3.0000,0.1899,1.0000,1.0628,1
CCCCCNC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1,0.5559,80.5984,3.0000,0.1842,1.0000,1.0628,1
CCCN(CC)N(C(=O)Nc1cccc(-c2ccccn2)c1)C1CCOC1,0.7502,86.7753,3.0000,0.1807,1.0000,1.0628,1
CCCC(CC)(C(C)NC(=O)N(NC(N)=O)c1cccc(-c2ccccn2)c1)C(Nc1ccc2ccccc2n1)c1ccccc1,0.1127,128.1904,3.0000,0.1868,1.0000,1.0628,1
CCCCCN(CC(N)=O)C(=O)N(Nc1ccc2ccccc2n1)c1cccc(-c2ccccn2)c1,0.2379,117.2914,3.0000,0.1860,1.0000,1.0628,1
O=C(Cc1ncccc1-c1ccccc1)NC1CCOC1,0.9350,62.3704,3.0000,0.0000,1.0000,1.0628,2
c1cncc(-c2cccc(NCC3CCCO3)c2)c1,0.9083,72.1761,3.0000,0.1493,1.0000,1.0628,2
CC(=O)OCC(=O)Nc1cncc(-c2ccccc2)c1,0.2137,63.4427,3.0000,0.1957,0.0000,1.0628,2
O=C(COC(=O)Cc1ccncn1)Nc1cncc(-c2ccccc2)c1,0.6869,117.9477,3.0000,0.1370,1.0000,1.0628,2
CCOCCN(C(=O)C(Nc1ccc2ccccc2n1)C(C)(C)C)c1cncc(-c2ccccc2)c1,0.2881,125.4518,3.0000,0.1667,1.0000,1.0628,2
CCCCC(C)NC(=O)C(CO)N(C(=O)COC(C)=O)c1cncc(-c2ccccc2)c1,0.5192,80.1255,3.0000,0.1951,1.0000,1.0628,2
CCCCCCOCC(=O)OCC(=O)N(CC(N)=O)c1cncc(-c2ccccc2)c1,0.3885,117.7291,3.0000,0.1750,1.0000,1.0628,2
CCCCC(C)NC(=O)CN(C(=O)COC(=O)CCO)c1cncc(-c2ccccc2)c1,0.4904,108.3087,3.0000,0.1951,1.0000,1.0628,2
