seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
5,0.9336,49,CCC(C)OC(=O)Cc1ccccc1-c1ccsc1,0.7598,72.5152,3.0000,0.1967,1.0000
5,0.9336,49,c1ccc2nc(Nc3ccc(-c4ccsc4)cc3)ccc2c1,0.5243,112.5417,3.0000,0.1111,1.0000
5,0.9336,49,CC(C)C(COCc1ccccc1)c1ccccc1,0.7292,73.1496,3.0000,0.0625,1.0000
5,0.9336,49,NC(=O)CCC(=O)OC(Nc1ccc2ccccc2n1)Oc1ccccc1,0.4699,95.1480,3.0000,0.1831,1.0000
5,0.9336,49,CC(=O)NCOC(CO)(c1ccccc1)C1CCOC1,0.7630,33.8128,3.0000,0.1791,1.0000
5,0.9336,49,O=C(CN(Cc1ccncc1)Cc1ccoc1)OCOc1ccccc1,0.4350,104.4668,3.0000,0.1642,1.0000
5,0.9336,49,CN(CC(=O)OCOc1ccccc1)CC(C)(C)C,0.0478,142.5014,3.0000,0.1308,0.0000
5,0.9336,49,CCOC(OC(=O)CN(CCC(N)=O)CC(C)(CNc1ccc2ccccc2n1)CC(NC)(Nc1ccc2ccccc2n1)c1ccccn1)Oc1ccccc1,0.0478,142.5014,3.0000,0.1308,0.0000
5,0.9336,49,CCC(c1ccccc1)N(C)CC(=O)OC(NC(=O)COC(C)=O)Oc1ccccc1,0.4343,86.5736,3.0000,0.1857,1.0000
5,0.9336,49,COCC(OC(=O)CN(C)C(CCc1cncnc1)c1ccccc1)Oc1ccccc1,0.2243,92.0745,3.0000,0.1910,1.0000
5,0.9336,49,CCC(c1ccccc1)N(CNc1ccc2ccccc2n1)CC(=O)OC(COC)(Oc1ccccc1)C1CCOC1,0.1450,124.6438,3.0000,0.1667,1.0000
5,0.9336,49,CCCC(CC)CN(CC(=O)OCOc1ccccc1)C(CC)c1ccccc1,0.1692,84.5305,3.0000,0.1928,1.0000
5,0.9336,49,CCCCC(C)C(OC(=O)CN(CC(CC)CCC)C(CC)c1ccccc1)Oc1ccccc1,0.1692,84.5305,3.0000,0.1928,1.0000
5,0.9336,49,CCCCCC(CC)CN(CC(=O)OCOc1ccccc1)C(CC)c1ccccc1,0.1824,85.2035,3.0000,0.1912,1.0000
5,0.9336,49,CCCC(CC)C(C)CC(CC)CN(CC(=O)OCOc1ccccc1)C(CC)c1ccccc1,0.1700,74.5761,3.0000,0.1944,1.0000
5,0.9336,49,CCCC(CC)CN(CC(=O)OC(OC)Oc1ccccc1)C(CC)(CCNC(=O)CC1CCCO1)c1ccccc1,0.1595,108.6649,3.0000,0.1782,1.0000
5,0.9336,49,COCC(NC(C)=O)(OC(=O)CN(C)C(CCC1CCOC1)c1ccccc1)Oc1ccccc1,0.2086,122.8787,3.0000,0.1442,0.2053
5,0.9336,49,COCC(NC(=O)Cc1cccs1)(OC(=O)CN(C)C(CCC1CCOC1)c1ccccc1)Oc1ccccc1,0.2086,122.8787,3.0000,0.1442,0.2053
5,0.9336,49,CCC(c1ccccc1)N(C)CC(=O)OC(Oc1ccccc1)N(C(C)=O)C1(C2(N)CC2)CC1N,0.3757,32.7116,3.0000,0.1977,1.0000
5,0.9336,49,COCC(NC(C)=O)(OC(=O)CN(C)C(CC(c1ccccn1)c1ccco1)c1ccccc1)Oc1ccccc1,0.1720,116.7218,3.0000,0.1494,1.0000
5,0.9336,49,COCC(NC(C)=O)(OC(=O)CN(C)C(CC(c1ccco1)N1CCCC1)c1ccccc1)Oc1ccccc1,0.2315,109.4482,3.0000,0.1771,1.0000
5,0.9336,49,CCC(c1ccccc1)N(CCC(N)=O)CC(=O)OC(COC)(Oc1ccccc1)N(CNc1ncccn1)C(C)=O,0.1808,112.1500,3.0000,0.1477,1.0000
5,0.9336,49,CCC(C)CC(=O)NC(COC)(OC(=O)CN(C)C(CC(c1ccco1)N1CCCC1)c1ccccc1)Oc1ccccc1,0.1490,117.0518,3.0000,0.1667,1.0000
5,0.9336,49,CCC(CC(=O)NC(COC)(OC(=O)CN(C)C(CC(c1ccco1)N1CCCC1)c1ccccc1)Oc1ccccc1)Cc1ccccc1,0.0823,137.6698,3.0000,0.1604,1.0000
5,0.9336,49,CCC(c1ccccc1)N(C)CC(=O)OC(Oc1ccccc1)N(C(C)=O)C1(C2(N)CC2)CC1N,0.3757,32.7116,3.0000,0.1977,1.0000
5,0.9336,49,CCC(c1ccccc1)N(CC(=O)OC(COC)(Oc1ccccc1)N(C(C)=O)C(N)OC(=O)Cc1ccccc1)Cc1cncnc1,0.1288,124.9203,3.0000,0.1373,1.0000
5,0.9336,49,CCC(c1ccccc1)N(C)CC(=O)OC(Oc1ccccc1)N(C(C)=O)C1(CC(C)(C)C)CC1(N)NC,0.3160,53.2027,3.0000,0.1978,1.0000
5,0.9336,49,CC(C)CN1CCC(C(C)C(c2ccccc2)N(C)CC(=O)OC(NC(=O)Cc2ccsc2)Oc2ccccc2)C1,0.1987,111.6837,3.0000,0.1700,1.0000
5,0.9336,49,COC(c1cccnc1)C(OC(=O)CN(C)C(CCc1ccccc1)(c1ccccc1)C(C)O)Oc1ccccc1,0.1615,93.3247,3.0000,0.1954,1.0000
5,0.9336,49,COCC(OC(=O)CN(C)C(c1ccccc1)(C(C)O)C(C)Nc1ccc2ccccc2n1)Oc1ccccc1,0.1829,105.7742,3.0000,0.1786,1.0000
5,0.9336,49,COCC(OC(=O)C(CC(C)(C)C)N(C)C(c1ccccc1)(C(C)O)C(C)Nc1ccc2ccccc2n1)Oc1ccccc1,0.1208,106.3122,3.0000,0.1818,1.0000
5,0.9336,49,COCCOC(C)C(c1ccccc1)(C(C)Nc1ccc2ccccc2n1)N(C)CC(=O)OC(COC)Oc1ccccc1,0.0956,118.7684,3.0000,0.1705,1.0000
5,0.9336,49,COCC(OC(=O)C(CC(C)(C)CNc1ccc2ccccc2n1)N(C)C(c1ccccc1)(C(C)O)C(C)Nc1ccc2ccccc2n1)Oc1ccccc1,0.0585,133.7740,3.0000,0.1720,1.0000
5,0.9336,49,COCC(OC(=O)C(CC(C)(C)C)N(C)C(c1ccccc1)(C(C)O)C(C)Nc1ccc2ccccc2n1)Oc1ccccc1,0.1208,106.3122,3.0000,0.1818,1.0000
5,0.9336,49,CCC(c1ccccc1)N(CC(=O)OC(COCCC(O)COC)(Oc1ccccc1)C1CCOC1)CC1CCCO1,0.1553,113.4509,3.0000,0.1619,1.0000
5,0.9336,49,CCC(c1ccccc1)N(CNC(N)=O)CC(=O)OC(COC)(Oc1ccccc1)C(CC)CC,0.2851,79.6586,3.0000,0.1918,1.0000
5,0.9336,49,CCC(OC)C(OC(=O)CN(CNC(N)=O)C(CC)c1ccccc1)Oc1ccccc1,0.3631,67.9835,3.0000,0.1972,1.0000
5,0.9336,49,CCC(OC)C(OC(=O)CN(CNC(N)=O)C(CC)c1ccccc1)Oc1ccccc1,0.3631,67.9835,3.0000,0.1972,1.0000
5,0.9336,49,CCC(OC)C(OC(=O)CN(CNC(N)=O)C(CC)c1ccccc1)Oc1ccccc1,0.3631,67.9835,3.0000,0.1972,1.0000
5,0.9336,49,CCC(OC)C(OC(=O)CN(CNC(N)=O)C(CC)c1ccccc1)Oc1ccccc1,0.3631,67.9835,3.0000,0.1972,1.0000
5,0.9336,49,CCC(c1ccccc1)N(CC(=O)OC(COC)Oc1ccccc1)CN(CC)C(=O)NNc1ccc2ccccc2n1,0.1056,135.5133,3.0000,0.1546,1.0000
5,0.9336,49,CCC(OC)C(OC(=O)CN(CNC(N)=O)C(CC)c1ccccc1)Oc1ccccc1,0.3631,67.9835,3.0000,0.1972,1.0000
