model,fold,seed,test_auc,split
GIN-TNE,0,0,0.8363074399044523,scaffold
GIN-TNE,0,1,0.7637344276903184,scaffold
GIN-TNE,0,2,0.7721756985945636,scaffold
GIN-TNE,0,3,0.7913204966980709,scaffold
GIN-TNE,0,4,0.7929212775377594,scaffold
GIN-TNE,1,0,0.7945371956322869,scaffold
GIN-TNE,1,1,0.7974722191050542,scaffold
GIN-TNE,1,2,0.7408721228506951,scaffold
GIN-TNE,1,3,0.82664087015457,scaffold
GIN-TNE,1,4,0.8219016912721306,scaffold
GIN-TNE,2,0,0.881654695362392,scaffold
GIN-TNE,2,1,0.7700488124867357,scaffold
GIN-TNE,2,2,0.8521883466788979,scaffold
GIN-TNE,2,3,0.7743856117483943,scaffold
GIN-TNE,2,4,0.8111917211328976,scaffold
GIN-TNE,3,0,0.7693877551020407,scaffold
GIN-TNE,3,1,0.8099719159659016,scaffold
GIN-TNE,3,2,0.869111335194953,scaffold
GIN-TNE,3,3,0.8480345192767311,scaffold
GIN-TNE,3,4,0.8672949267417522,scaffold
GIN-TNE,4,0,0.7878678568443089,scaffold
GIN-TNE,4,1,0.7560568669723599,scaffold
GIN-TNE,4,2,0.8412516527646021,scaffold
GIN-TNE,4,3,0.8449799097611616,scaffold
GIN-TNE,4,4,0.8028118562248254,scaffold
