smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
C[C@@H](NCc1ccccc1)c1cc(F)ccc1F,-7.1,-5.9,-9.2,8.149999999999999,A
CC(NCc1ccccc1)c1cc(F)ccc1F,-7.1,-5.9,-9.3,8.2,A
C[C@@H](NCc1ccc(O)cc1)c1ccccc1Cl,-7.1,-6.2,-9.2,8.149999999999999,A
C[C@@H](NCc1ccc(Cl)cc1)c1ccccc1F,-7.3,-5.2,-9.3,8.3,A
C[C@H](NCc1ccccc1)c1ccccc1F,-7.1,-5.7,-8.8,7.95,B
CC(NCc1ccccc1)c1cccc(O)c1,-7.3,-6.2,-9.4,8.35,A
CC(NCc1cccc(Cl)c1)c1ccc(Cl)cc1,-7.1,-5.5,-8.9,8.0,A
CC(NCc1ccc(Cl)cc1)c1cccc(Cl)c1,-7.6,-5.6,-9.2,8.399999999999999,A
C[C@@H](NCc1ccc(Cl)cc1)c1cccc(Cl)c1,-7.6,-5.6,-9.1,8.35,A
C[C@@H](NCc1ccccc1)c1cccc(O)c1,-7.4,-6.1,-9.3,8.350000000000001,A
C[C@@H](NCc1cccc(Cl)c1)c1ccc(Cl)cc1,-7.1,-5.4,-8.9,8.0,A
CC(NCc1cccc(O)c1)c1ccc(Cl)cc1,-8.0,-6.0,-9.1,8.55,A
C[C@@H](NCc1ccccc1)c1ccc(F)cc1F,-7.1,-6.0,-9.1,8.1,A
C[C@@H](NCc1ccc(Cl)cc1)c1cc(F)ccc1F,-7.4,-5.3,-9.6,8.5,A
C[C@@H](NCc1cccc(O)c1)c1ccccc1F,-7.7,-6.1,-9.2,8.45,A
C[C@H](NCc1cccc(O)c1)c1ccccc1F,-7.0,-6.5,-9.7,8.35,A
C[C@H](NCc1ccc(O)cc1)c1cc(F)ccc1F,-7.1,-6.6,-9.6,8.35,A
C[C@@H](NCc1ccc(O)cc1)c1cc(F)ccc1F,-7.6,-6.5,-9.4,8.5,A
C[C@@H](NCc1ccc(CO)cc1)c1cc(O)ccc1F,-7.5,-6.4,-10.0,8.75,A
Cc1ccc(CN[C@H](C)c2cc(O)ccc2F)cc1,-8.0,-6.0,-10.1,9.05,A
Cc1ccc(CN[C@@H](C)c2cc(O)ccc2F)cc1,-7.2,-6.1,-9.9,8.55,A
C[C@@H](NCc1ccc(F)cc1)c1cc(F)ccc1F,-7.6,-6.2,-9.5,8.55,A
C[C@@H](NCc1ccc(CO)cc1)c1cc(Br)ccc1F,-7.0,-6.0,-9.3,8.15,A
C[C@@H](NCc1cccc(Cl)c1)c1cc(F)ccc1F,-7.1,-6.1,-9.5,8.3,A
C[C@H](NCc1ccccc1)c1cccc(F)c1F,-7.1,-6.0,-8.9,8.0,A
C[C@H](NCc1ccccc1)c1c(F)cccc1F,-7.1,-5.9,-8.5,7.8,B
C[C@@H](NCc1cccc(F)c1)c1cc(F)ccc1F,-7.1,-6.0,-9.4,8.25,A
C[C@@H](NCc1cccc(CO)c1)c1cc(F)ccc1F,-7.9,-5.9,-9.9,8.9,A
Cc1cc(CN[C@H](C)c2cc(O)ccc2F)ccc1F,-7.4,-6.3,-10.3,8.850000000000001,A
COc1cc(O)cc(CN[C@H](C)c2ccccc2)c1,-7.0,-6.3,-9.2,8.1,A
C[C@@H](NCc1cccc(O)c1)c1c(F)cccc1F,-7.5,-6.3,-9.5,8.5,A
C[C@H](NCc1cc(CO)ccc1F)c1ccccc1,-7.3,-6.0,-9.7,8.5,A
C[C@@H](NCc1cc(CO)ccc1F)c1ccccc1,-7.8,-5.8,-9.6,8.7,A
CC(NCc1cccc(O)c1)c1ccc(F)c(C(F)(F)F)c1,-7.1,-6.7,-10.0,8.55,A
CC(NCc1ccc(F)c(Cl)c1)c1cc(F)cc(F)c1,-7.2,-6.5,-9.8,8.5,A
Cc1ccc(CN[C@H](C)c2cc(F)ccc2F)cc1F,-7.7,-5.8,-9.9,8.8,A
C[C@H](NCc1cccc(O)c1)c1cccc(C(F)(F)F)c1,-7.1,-6.5,-10.2,8.649999999999999,A
CC(NCc1cccc(O)c1)c1cccc(C(F)(F)F)c1,-7.6,-6.6,-9.8,8.7,A
C[C@@H](NCc1cccc(O)c1)c1cccc(C(F)(F)F)c1,-7.5,-6.6,-9.7,8.6,A
C[C@@H](NCc1cc(F)ccc1F)c1ccccc1,-7.1,-5.9,-9.1,8.1,A
CC(NCc1ccc(F)c(F)c1)c1cc(O)cc(F)c1,-8.2,-6.5,-10.0,9.1,A
CC(NCc1cccc(Cl)c1)(C(N)=O)c1ccccc1,-7.1,-6.3,-8.9,8.0,A
C[C@@H](NCc1cc(CO)ccc1F)c1cccc(O)c1,-7.6,-6.7,-10.2,8.899999999999999,A
CC(NCc1cccc(C(F)(F)F)c1)c1cccc(F)c1,-7.0,-6.2,-10.1,8.55,A
C[C@@H](NCc1cc(F)ccc1F)c1cccc(O)c1,-7.1,-6.4,-9.8,8.45,A
C[C@H](NCc1cccc(C(F)(F)F)c1)c1cccc(F)c1,-7.0,-6.2,-10.0,8.5,A
CC(N[C@H](C)c1ccccc1F)c1cc(O)ccc1F,-7.0,-6.3,-9.6,8.3,A
CC(NCc1cc(Cl)ccc1F)(C(N)=O)c1ccccc1,-7.3,-6.5,-9.1,8.2,A
C[C@@H](NCc1cc(C#N)ccc1F)c1cccc(O)c1,-7.2,-6.3,-9.8,8.5,A
CC(NCc1ccc(Cl)cc1)c1cccc(O)c1,-7.7,-6.0,-9.7,8.7,A
