candidate,RRS_mean,RRS_class,RRS_K76T,RRS_K76A,RRS_null,PfCRT_WT_corr,PfCRT_K76T_corr,PfCRT_K76A_corr,N_fav_perTargetMedian
PP-01,90.5,A*,99.8,99.9,100.2,-9.155,-9.139,-9.148,2
PP-02,100.1,A*,100.2,100.0,100.5,-9.337,-9.359,-9.336,2
PP-03,78.5,C,100.0,100.0,100.0,-12.01,-12.01,-12.01,4
PP-04,79.7,C,99.9,100.4,100.3,-7.398,-7.391,-7.424,0
PP-05,100.1,A*,100.0,100.1,100.0,-8.959,-8.96,-8.97,4
PP-06,100.0,A*,100.0,100.0,100.2,-9.027,-9.026,-9.031,4
PP-07,81.3,B,99.7,99.9,99.8,-7.952,-7.929,-7.948,2
PP-08,76.2,C,99.6,100.1,99.6,-6.592,-6.566,-6.596,0
PP-09,82.6,B,99.8,100.0,100.3,-7.436,-7.421,-7.438,0
PP-10,84.0,B,100.1,100.2,100.0,-8.039,-8.048,-8.056,3
PP-11,100.0,A*,100.0,100.0,100.0,-9.343,-9.345,-9.343,4
PP-12,79.5,C,100.0,100.0,100.0,-8.056,-8.058,-8.056,1
PP-13,99.3,A*,99.1,99.4,99.5,-9.788,-9.698,-9.732,4
PP-14,76.8,C,99.9,100.0,100.0,-6.431,-6.426,-6.428,0
PP-15,115.6,A*,100.1,100.1,100.1,-9.808,-9.814,-9.822,4
PP-16,82.9,B,100.6,99.6,99.4,-7.469,-7.511,-7.442,2
PP-17,73.2,C,100.1,100.1,100.3,-6.374,-6.379,-6.38,0
