candidate,receptor,affinity
PP-01,WT,-9.155
PP-02,WT,-9.337
PP-03,WT,-12.01
PP-04,WT,-7.398
PP-05,WT,-8.959
PP-06,WT,-9.027
PP-07,WT,-7.952
PP-08,WT,-6.592
PP-09,WT,-7.436
PP-10,WT,-8.039
PP-11,WT,-9.343
PP-12,WT,-8.056
PP-13,WT,-9.788
PP-14,WT,-6.431
PP-15,WT,-9.808
PP-16,WT,-7.469
PP-17,WT,-6.374
PP-01,K76T,-9.139
PP-02,K76T,-9.359
PP-03,K76T,-12.01
PP-04,K76T,-7.391
PP-05,K76T,-8.96
PP-06,K76T,-9.026
PP-07,K76T,-7.929
PP-08,K76T,-6.566
PP-09,K76T,-7.421
PP-10,K76T,-8.048
PP-11,K76T,-9.345
PP-12,K76T,-8.058
PP-13,K76T,-9.698
PP-14,K76T,-6.426
PP-15,K76T,-9.814
PP-16,K76T,-7.511
PP-17,K76T,-6.379
PP-01,K76A,-9.148
PP-02,K76A,-9.336
PP-03,K76A,-12.01
PP-04,K76A,-7.424
PP-05,K76A,-8.97
PP-06,K76A,-9.031
PP-07,K76A,-7.948
PP-08,K76A,-6.596
PP-09,K76A,-7.438
PP-10,K76A,-8.056
PP-11,K76A,-9.343
PP-12,K76A,-8.056
PP-13,K76A,-9.732
PP-14,K76A,-6.428
PP-15,K76A,-9.822
PP-16,K76A,-7.442
PP-17,K76A,-6.38
PP-01,NULL,-9.176
PP-02,NULL,-9.384
PP-03,NULL,-12.01
PP-04,NULL,-7.422
PP-05,NULL,-8.962
PP-06,NULL,-9.044
PP-07,NULL,-7.933
PP-08,NULL,-6.567
PP-09,NULL,-7.461
PP-10,NULL,-8.042
PP-11,NULL,-9.347
PP-12,NULL,-8.058
PP-13,NULL,-9.737
PP-14,NULL,-6.432
PP-15,NULL,-9.814
PP-16,NULL,-7.421
PP-17,NULL,-6.391
