external_panel_id,state,vina_score_kcal_mol,sha256
EXT-001,PfDHFR_WT,-5.377,351ee1dba6d1a10b59443a1bd1c952b4a78beafce4a67fe39f6188bbc4ce2e7e
EXT-001,PfDHFR_N51I,-5.511,c78cbe8df87cdc01d59d2dc4616acd2cbe48605edc7546618eec3327ae448b81
EXT-001,PfDHFR_C59R,-5.453,7b6602c2856e693dc91e31359ab477c2e0e6dbf267b0f9d87251594afc0c20a8
EXT-001,PfDHFR_S108N,-5.477,3e823268e370e895e37914668b787ebaa8da214e4fe9f16551990ceccd8a5be6
EXT-001,PfDHFR_I164L,-5.533,88d451c3ba00ede62430f721d25e0314e35a58d72d9549af0a53843bacf48383
EXT-001,PfCRT_WT,-6.691,24d94778ab61a1b74d4ad8c3a7646f31cf1aa26d1a3b2c5b6207639fa7f5d6f0
EXT-001,PfCRT_K76T,-6.665,15ed1ef4f650d128e13d8ba21c8a1183b730ccab7f655824437a88156cc00bcd
EXT-001,PfCRT_K76A,-6.574,28dcf9861dd0c1743362d358644215bf42265a545c1391dea305478ca05af461
EXT-002,PfDHFR_WT,-7.961,96c04fa5b51b4955998c17cc9bd8fe121f1a60cb1d46ea8e828db58763d2abf5
EXT-002,PfDHFR_N51I,-7.572,7be4292f80c9a8ad25d2959ef2697729c1d587e65eac26981a56ab649f3ddc51
EXT-002,PfDHFR_C59R,-7.543,6bc8a25453b089a55a02bed43f8f8b7bcf85998ffba4f9410f64d3bef91fbeca
EXT-002,PfDHFR_S108N,-7.591,341c4c9d9aaf2bcedc64a31e6fc9fa2d6596537ebf7966e01edbc4b7b75ba366
EXT-002,PfDHFR_I164L,-7.525,958a8766307875ca4857f3aa3f7e08b45db70af8b08707f24b901918c63c457c
EXT-002,PfCRT_WT,-9.686,8ba8484ff27d8e3a3ab20c52de1a2b9426d901266d7cab3355d3cd1eb1820fd8
EXT-002,PfCRT_K76T,-9.257,ed2b03b00a5fce6ddee775923ac08d9143317ff29bc62afbb6cb5bafd6191370
EXT-002,PfCRT_K76A,-9.236,076c6daeda991bf01cbdcebda39b423cc2e0ae3697e95a66003619331e563c4d
EXT-003,PfDHFR_WT,-7.723,38d331f91f778427b8bcdcbf0952b203d98015dda7d158202e379530326f78de
EXT-003,PfDHFR_N51I,-7.411,c4271eb86f1378aa2cb4fc70cb75d0b55ff3bbc165f6467ada02e386630f9eb2
EXT-003,PfDHFR_C59R,-7.55,8243451ceed79dc59642db5bdab682f6fea87b96060bf6d7723eba23154b08f2
EXT-003,PfDHFR_S108N,-7.164,09284680948cda9256978c60a01bf9014db9e83a2442e66f2e3a38fa7c330af5
EXT-003,PfDHFR_I164L,-7.574,6fb20904f944bb9b361f3b98ac0b183594179da5242ac3fe83bd50b4734dabed
EXT-003,PfCRT_WT,-10.635,773ec8d85ab23b476da8e98cc2526f90fc5ce58d792cdd92d9a98d099f26f264
EXT-003,PfCRT_K76T,-10.348,e8f3dae9d9478e4a77d14a2f6005ec9c853794c10a5d108f7f302eb435935b9c
EXT-003,PfCRT_K76A,-9.984,84a2d654d52b6e806b08277c752abed5f4292488fbb93cf7e4951accc8f6f6e7
EXT-004,PfDHFR_WT,-5.906,9899c4653f921d2277709b4d307fa490ec9c1a3000b29d7f7e9af1c7b260463b
EXT-004,PfDHFR_N51I,-5.329,cc8c66481565f4141657bcce3bb7e7d41d91354076f74543bb1854d5c9d573f1
EXT-004,PfDHFR_C59R,-5.597,b1717c1862e0d9d20ec7d2b4ae93eea270a403f3731a6901ed4a3ebf416c85df
EXT-004,PfDHFR_S108N,-6.127,4625a607503fb213aa5d31559804a20b3fde2bd93845fb093c7effe4afd0dd46
EXT-004,PfDHFR_I164L,-5.278,fae3c5ec916f1422e8bc3adcf7619f9b72fb86ca16028ffe0742e70e6f8ebbf1
EXT-004,PfCRT_WT,-8.118,97259663f56156273e6cc4dcc7c188cc22c3ad5647d10adef909df993ef3f0ea
EXT-004,PfCRT_K76T,-8.032,6d9944752b4a710774ccc8fc0ce235a989fef41eb7de14e7e42c4f33d1079778
EXT-004,PfCRT_K76A,-8.193,f7a0c243646f2b70d9cccdf0b82118b39933057287c1a12199f2f044029bc48b
