drug,state,vina_score_kcal_mol
artemisinin,PfDHFR_WT,-5.233
artemisinin,PfDHFR_N51I,-5.939
artemisinin,PfDHFR_C59R,-6.174
artemisinin,PfDHFR_S108N,-5.953
artemisinin,PfDHFR_I164L,-5.968
artemisinin,PfCRT_WT,-7.858
artemisinin,PfCRT_K76T,-7.857
artemisinin,PfCRT_K76A,-7.861
pyrimethamine,PfDHFR_WT,-5.369
pyrimethamine,PfDHFR_N51I,-5.37
pyrimethamine,PfDHFR_C59R,-5.37
pyrimethamine,PfDHFR_S108N,-5.351
pyrimethamine,PfDHFR_I164L,-5.37
pyrimethamine,PfCRT_WT,-7.215
pyrimethamine,PfCRT_K76T,-7.233
pyrimethamine,PfCRT_K76A,-7.219
chloroquine,PfDHFR_WT,-4.535
chloroquine,PfDHFR_N51I,-4.987
chloroquine,PfDHFR_C59R,-4.991
chloroquine,PfDHFR_S108N,-5.101
chloroquine,PfDHFR_I164L,-4.985
chloroquine,PfCRT_WT,-7.313
chloroquine,PfCRT_K76T,-7.282
chloroquine,PfCRT_K76A,-7.224
lumefantrine,PfDHFR_WT,-4.84
lumefantrine,PfDHFR_N51I,-6.151
lumefantrine,PfDHFR_C59R,-5.594
lumefantrine,PfDHFR_S108N,-6.273
lumefantrine,PfDHFR_I164L,-6.151
lumefantrine,PfCRT_WT,-7.746
lumefantrine,PfCRT_K76T,-8.197
lumefantrine,PfCRT_K76A,-8.017
cipargamin,PfDHFR_WT,-6.325
cipargamin,PfDHFR_N51I,-7.277
cipargamin,PfDHFR_C59R,-7.129
cipargamin,PfDHFR_S108N,-7.248
cipargamin,PfDHFR_I164L,-7.248
cipargamin,PfCRT_WT,-8.015
cipargamin,PfCRT_K76T,-7.976
cipargamin,PfCRT_K76A,-7.99
